row_id,title,description,streetaddress,type,city,state,Year,notes,ID,category
339,The Firm Fitness Center,Shopping Ctr / Rte 1 302-227-8363,6 Camelot ,,Rehoboth Beach,DE,2003,,2003-DE-0339,Gyms
16159,Faultline Store,323/660-2952,,,Los Angeles,CA,2000,location from the description of Faultline,2000-CA-0644,Business
19471,Rubberworks,fetish store,,,Boston,MA,2000,location from Boston Ramrod's description,2000-MA-3956,Business
19635,The Union,9pm-1am,,,Provincetown,MA,2000,location from Gifford House Inn & Dance Club's descriptiom,2000-MA-4120,Bars
19900,The Tank,,,,Minneapolis,MN,2000,location from The Saloon's description,2000-MN-4385,Bars
20664,Gateway Lounge,,,,Long Island - Suffolk County,NY,2000,location from The Inn at Medford's description,2000-NY-5149,Bars
20759,Pork,,,,New York City,NY,2000,location from 'The Lure's' description,2000-NY-5244,Bars
20782,Suspect,"9pm Sun, hip-hop lounge",,,New York City,NY,2000,location from Nowbar's description,2000-NY-5267,Bars
21117,Getaways,,,,Asheville,NC,2000,located in Scandals's description,2000-NC-5602,Bars
21164,Barracks,10pm Fri-Sat,,,Akron,OH,2000,location from Adams Street Bar's description,2000-OH-5649,Bars
21294,The Eagle's Nest,10pm-2:30am,,,Columbus,OH,2000,location from Columbus Eagle Bar's description,2000-OH-5779,Bars
21586,Brig,9pm-2:30am,,,Portland,OR,2000,location from Boxx's description,2000-OR-6071,Bars
22118,Steel City Centurions,,,,Chattanooga,TN,2000,location from Tool Box's description,2000-TN-6603,Bars
22276,Numbers,"214/521-7861, from 7am",,,Dallas,TX,2000,location from Anchor Inn's description,2000-TX-6761,Bars
22942,Beehive,,,,Huntington,WV,2000,location from Driftwood Lounge's description,2000-WV-7427,Bars
24106,Shooterz/ Club Odyssey,"(at University) 619/574-0744 noon-2am, sports & cruise bar",3815 30th St,,San Diego,CA,2001,,2001-CA-0883,Bars
25286,Twisted Palms Annex,407/835-8998,498 N Orange Blossom Tr,,Orlando,FL,2001,location from Twisted Palms's description,2001-FL-2063,Bars
25934,Bakehouse,"Coralville, coffee & sandwiches, 7am-7pm",498 1st Ave,,Coralville,IA,2001,,2001-IA-2711,Restaurants
29612,Lizard Lounge,,,,Ocala,FL,2001,location from Club Diversity's description,2001-FL-6389,Bars
29617,Loch Haven Motor Inn,407/896-3611,,,Orlando,FL,2001,location from Will's Pub's description,2001-FL-6394,Accommodations
29692,Dark Angel Leather,"11am-11pm, 3pm-8pm Sun, clsd Mon",,,Atlanta,GA,2001,location from The Sanctuary's description,2001-GA-6469,Business
29845,Holding Cell,from 10pm Th-Sun w/ strict leather/ latex/ uniform code,,,Chicago,IL,2001,NA,2001-IL-6622,Business
29846,Leather Cell,store,,,Chicago,IL,2001,NA,2001-IL-6623,Business
29869,Twin Lakes Park,Hwy 1 N of town (W wide of park),,,Paris,IL,2001,,2001-IL-6646,Cruising Areas
29913,Options,safer-sex info ctr,,,Indianapolis,IN,2001,Location from 501 Eagle's description,2001-IN-6690,Organizations
30144,The Rooftop Cafe,"bar & grill from 4pm, T-dance Sat-Sun",,,Ogunquit,ME,2001,Location from 'The Club's' description,2001-ME-6921,Restaurants
30253,The Little Bar,,,,Provincetown,MA,2001,Location from Atlantic House's description,2001-MA-7030,Bars
30254,Macho Room,,,,Provincetown,MA,2001,Location from Atlantic House's description,2001-MA-7031,Bars
30257,Quarry,from 9pm Th-Sat,,,Springfield,MA,2001,Location from 'Pub/ Quarry's' description,2001-MA-7034,Bars
30276,Cellblock,from 10pm,,,Springfield,MA,2001,Location from 'Just Friends/ Cellblock's' description,2001-MA-7053,Bars
30340,The Tank,Sun only,,,Minneapolis,MN,2001,NA,2001-MN-7117,Bars
30341,The Front,"from 8pm-1am, clsd Sun-Tue",,,Minneapolis,MN,2001,Location from Ground Zero/The Front's description. Originally listed under the city Minneapolis/St. Paul,2001-MN-7118,Bars
30361,Gateway,"Fri-Sun, also full restaurant",,,St. Louis,MO,2001,Location from Magnolia's description,2001-MO-7138,Bars
30608,Gateway Lounge,,,,Long Island,NY,2001,NA,2001-NY-7385,Bars
30654,Pork,S/M night 10pm Wed,,,New York City,NY,2001,NA,2001-NY-7431,Bars
30655,Shelter,"11pm Sat, alcohol-free dance party",,,New York City,NY,2001,NA,2001-NY-7432,Bars
30773,Crossover,"upstairs from 9pm Fri-Sat, strict dress code",,,Cleveland,OH,2001,Location from Tool Shed's description,2001-OH-7550,Bars
31027,Steel City Centurions,,,,Chattanooga,TN,2001,Location form Tool Box's description,2001-TN-7804,Bars
31068,Jupiter Lounge,"from 10pm, clsd Sun",,,Austin,TX,2001,Location from the The Forum's description,2001-TX-7845,Bars
31394,Pamela's,restaurant & bar,,,San Juan,PR,2001,Location form Numero Uno on the Beach's description,2001-PR-8171,Bars
42019,Lava Hot Springs Inn,"776-5830 full brkfst, hot tubs, mineral pool",5 Portneuf Ave.,,Lava Hot Springs,ID,1996,,2002-AL-0011,Accommodations
43869,Ice Palace,disco,,,Fire Island,NY,1996,location from Cherry Grove Beach Hotel's description,1996-ID-2452,Bars
52462,Millar Street House,"PO Box 7281, 99901, 225-1258/(800) 287-1607 also kayak tours",,,Ketchikan,AK,1997,,1996-NY-4302,Accommodations
54151,Out & About,Cable TV Channel 2 9pm Mon,,Entertainment & Recreation,Northampton,MA,1998,Unsure about category,1997-AK-6521,Entertainment
54342,United Church of Christ,nr. Court St. (Exeter Cong. Church) 772-6221 10am Sun,21 Front St,Spiritual Groups,Exeter,NH,1998,,1998-MA-0984,Religious Institutions
62765,Gray Rock Picnic Area,,Rt. 184 Groton,Cruising Areas,New London,CT,1990,-203,1998-NH-1175,Cruising Areas
70753,The Annex,"627-1140 cruise bar, 10pm-7am Fri & Sat",673 Hudson St.,Men's Services,Greenwich Village,NY,1991,,1990-CT-1363,Entertainment
70754,Cellblock 28 28,"733-3144 8pm-3am Mon-Thurs, 3pm-3am Sun",9th Ave,Men's Services,Greenwich Village,NY,1991,,1991-NY-3874,Entertainment
70755,J's Hangout,"242-9292 midnight-8am, not sexually oriented",675 Hudson St.,Men's Services,Greenwich Village,NY,1991,,1991-NY-3875,Entertainment
70756,The Locker Room,(9th Ave.) 459-4299,400 W. 14th St.,Men's Services,Greenwich Village,NY,1991,,1991-NY-3876,Entertainment
70757,M.A.N,"#133, 535-3914 gay men's group for social nudism",486A Hudson,Men's Services,Greenwich Village,NY,1991,,1991-NY-3877,Entertainment
70758,Men of All Colors Together,"(at Lesbian/Gay Community Center) 245-6366 Fri 7:45pm, call for various subgroups",,Men's Services,Greenwich Village,NY,1991,,1991-NY-3878,Entertainment
73847,Mission News,"863-7380, 24hrs",2086 Mission St.,Erotica,San Francisco,CA,1992,,1991-NY-3879,Business
74855,Kailua Maui Garden Estate,"SR Box 9, 86708, 572-9726 (800)258-8588 suites, apt. & bungalow, jacuzzi",,,"Haiku, Maui",HI,1992,"No type is listed, appears to be Accomodations",1992-CA-1198,Accommodations
75803,Around the World Travel,"P.O. Box 482, 01945-0482, 631-8620 Ask for Bruce",,,Marblehead,MA,1992,,1992-HI-2206,Business
79698,Green Carnation  Coffeehouse,"384-1940 7pm-midnight, til 2am Fri & Sat",1580 N. 'D' St. Ste. 7,,San Bernardino,CA,1993,NA,1992-MA-3154,Restaurants
80536,Spanky's Delrey Beach,(NE 6th Ave.) 265-3268 3pm-2am,320 N. Federal Hwy,,Delray Beach,FL,1993,NA,1993-CA-0906,Entertainment
81097,Kailua Maui Garden Estate,"572-9726 (800)258-8588 suites & bungalow, hot tub","SR Box 9, 96708",,"Haiku, Maui",HI,1993,NA,1993-FL-1744,Accommodations
82167,Tall Pines Inn,649-9134 8pm-2am Fri-Sun,147 Frost Rd.,,Tyngsboro,MA,1993,NA,1993-HI-2305,Accommodations
82310,Ken's Travel Bureau,531-3907 7 days a week,24738 Donald Ave.,,Redford,MI,1993,NA,1993-MA-3375,Business
83226,Video Expo,272-7577,516 River St.,,Troy,NY,1993,NA,1993-MI-3518,Business
83836,Yuppies,"547-0430 6pm-2am, gentlemen's bar",241 E. Main St.,,Mt. Pleasant,PA,1993,NA,1993-NY-4434,Bars
84519,"Sea Horse Inn, The","749-5221 nr. gulf beaches, kitchenettes",1423 11th St.,,Port Aransas,TX,1993,NA,1993-PA-5044,Accommodations
86691,Spanky's Delray Beach,(NE 6th Ave.) 265-3268 3pm-2am,320 N. Federal Hwy.,,Delray Beach,FL,1994,Not listed under a 'type',1993-TX-5727,Entertainment
87211,Anfora's Dream,"PO Box 74030, LA, CA, 90004 (213)737-0731 rental condo",,,"Haiku, Maui",HI,1994,seems to be accommodations,1994-FL-1598,Accommodations
87212,Kailua Maui Garden Estate,"SR Box 9, 96708 572-9726/(800)258-8588 suites & bungalow, hot tub",,,"Haiku, Maui",HI,1994,seems to be accommodations,1994-HI-2118,Accommodations
88313,Ken's Travel Bureau,531-3907,24738 Donald Ave.,,Redford,MI,1994,Type is most likely Travel Tours,1994-HI-2119,Business
89148,Video Expo,272-7577,516 River St.,,Troy,NY,1994,,1994-MI-3220,Business
89740,Yuppies,"547-0430 6pm-2am, gentlemen's bar",241 E. Main St.,,Mt. Pleasant,PA,1994,no type listed,1994-NY-4055,Bars
90974,Villa Ricomar,"Carretera 459, Barrio Jobos. Opens 9pm Fri-Sat, from 6pm Sun",8 Calle Paz,Bars,Isabela,PR,1995,,1994-PA-4647,Bars
92045,Vintage Towers B&B,"894-4535 full brkfst, historical Queen Anne Mansion",302 N. Main St.,,Cloverdale,CA,1995,,1995-PR-0069,Accommodations
92140,Spanky's Delray Beach,(NE 6th Ave.) 265-3268 3pm-2am,320 N. Federal Hwy.,,Delray Beach,FL,1995,No type is listed.,1995-CA-1140,Entertainment
95859,Kailua Maui Garden Estate,"572-9726/ (800)258-8588 suites, cottages, hot tub","SR Box 9, 96708",,"Haiku, Maui",HI,1995,No type listed.,1995-FL-1235,Accommodations
95860,Halfway to Hana House,572-1176 priv. studio w/ ocean view,,,"Haiku, Maui",HI,1995,No type listed.,1995-HI-4954,Accommodations
