"","row_id","title","description","streetaddress","type","city","state","Year","notes","ID"
"1","339","NA","6 Camelot Shopping Ctr","","","Rehoboth Beach","DE","2003","","2003-DE-0339"
"2","16159","Faultline Store","323/660-2952","","","Los Angeles","CA","2000","location from the description of Faultline","2000-CA-0644"
"3","19471","Rubberworks","fetish store","","","Boston","MA","2000","location from Boston Ramrod's description","2000-MA-3956"
"4","19635","The Union","9pm-1am","","","Provincetown","MA","2000","location from Gifford House Inn & Dance Club's descriptiom","2000-MA-4120"
"5","19900","The Tank","","","","","MN","2000","location from The Saloon's description","2000-MN-4385"
"6","20664","Gateway Lounge","","","","Long Island–Suffolk County","NY","2000","location from The Inn at Medford's description","2000-NY-5149"
"7","20759","Pork","","","","New York City","NY","2000","location from 'The Lure's' description","2000-NY-5244"
"8","20782","Suspect","9pm Sun, hip-hop lounge","","","New York City","NY","2000","location from Nowbar's description","2000-NY-5267"
"9","21117","Getaways","","","","Asheville","NC","2000","located in Scandals's description","2000-NC-5602"
"10","21164","Barracks","10pm Fri-Sat","","","Akron","OH","2000","location from Adams Street Bar's description","2000-OH-5649"
"11","21294","The Eagle's Nest","10pm-2:30am","","","Columbus","OH","2000","location from Columbus Eagle Bar's description","2000-OH-5779"
"12","21586","Brig","9pm-2:30am","","","Portland","OR","2000","location from Boxx's description","2000-OR-6071"
"13","22118","Steel City Centurions","","","","Chattanooga","TN","2000","location from Tool Box's description","2000-TN-6603"
"14","22276","Numbers","214/521-7861, from 7am","","","Dallas","TX","2000","location from Anchor Inn's description","2000-TX-6761"
"15","22942","Beehive","","","","Huntington","WV","2000","location from Driftwood Lounge's description","2000-WV-7427"
"16","24106","Shooterz/ Club Odyssey","(at University) 619/574-0744 noon-2am, sports & cruise bar","3815 30th St","","San Diego","CA","2001","","2001-CA-0883"
"17","25286","Twisted Palms Annex","407/835-8998","498 N Orange Blossom Tr","","Orlando","FL","2001","location from Twisted Palms's description","2001-FL-2063"
"18","25934","Bakehouse","Coralville, coffee & sandwiches, 7am-7pm","498 1st Ave","","Coralville","IA","2001",NA,"2001-IA-2711"
"19","29612","Lizard Lounge","","","","Ocala","FL","2001","location from Club Diversity's description","2001-FL-6389"
"20","29617","Loch Haven Motor Inn","407/896-3611","","","Orlando","FL","2001","location from Will's Pub's description","2001-FL-6394"
"21","29692","Dark Angel Leather","11am-11pm, 3pm-8pm Sun, clsd Mon","","","Atlanta","GA","2001","location from The Sanctuary's description","2001-GA-6469"
"22","29845","Holding Cell","from 10pm Th-Sun w/ strict leather/ latex/ uniform code","","","Chicago","IL","2001",NA,"2001-IL-6622"
"23","29846","Leather Cell","store","","","Chicago","IL","2001",NA,"2001-IL-6623"
"24","29869","Twin Lakes Park","Hwy 1 N of town (W wide of park)","","","Paris","IL","2001","","2001-IL-6646"
"25","29913","Options","safer-sex info ctr","","","Indianapolis","IN","2001","Location from 501 Eagle's description","2001-IN-6690"
"26","30144","The Rooftop Cafe","bar & grill from 4pm, T-dance Sat-Sun","","","Ogunquit","ME","2001","Location from 'The Club's' description","2001-ME-6921"
"27","30253","The Little Bar","","","","Provincetown","MA","2001","Location from Atlantic House's description","2001-MA-7030"
"28","30254","Macho Room","","","","Provincetown","MA","2001","Location from Atlantic House's description","2001-MA-7031"
"29","30257","Quarry","from 9pm Th-Sat","","","Springfield","MA","2001","Location from 'Pub/ Quarry's' description","2001-MA-7034"
"30","30276","Cellblock","from 10pm","","","Springfield","MA","2001","Location from 'Just Friends/ Cellblock's' description","2001-MA-7053"
"31","30340","The Tank","Sun only","","","Minneapolis","MN","2001",NA,"2001-MN-7117"
"32","30341","The Front","from 8pm-1am, clsd Sun-Tue","","","Minneapolis","MN","2001","Location from Ground Zero/The Front's description. Originally listed under the city Minneapolis/St. Paul","2001-MN-7118"
"33","30361","Gateway","Fri-Sun, also full restaurant","","","St. Louis","MO","2001","Location from Magnolia's description","2001-MO-7138"
"34","30608","Gateway Lounge","","","","Long Island","NY","2001",NA,"2001-NY-7385"
"35","30654","Pork","S/M night 10pm Wed","","","New York City","NY","2001",NA,"2001-NY-7431"
"36","30655","Shelter","11pm Sat, alcohol-free dance party","","","New York City","NY","2001",NA,"2001-NY-7432"
"37","30773","Crossover","upstairs from 9pm Fri-Sat, strict dress code","","","Cleveland","OH","2001","Location from Tool Shed's description","2001-OH-7550"
"38","31027","Steel City Centurions","","","","Chattanooga","TN","2001","Location form Tool Box's description","2001-TN-7804"
"39","31068","Jupiter Lounge","from 10pm, clsd Sun","","","Austin","TX","2001","Location from the The Forum's description","2001-TX-7845"
"40","31394","Pamela's","restaurant & bar","","","San Juan","PR","2001","Location form Numero Uno on the Beach's description","2001-PR-8171"
"41","31436","NA","","","","Birmingham","AL","2002","Location from another entry's description.","2002-AL-0011"
